title mz rt nPeptides
qExactive01819.1378.1378.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D1378%22 607.209716796875 6.070643899999999 6
qExactive01819.4794.4794.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4794%22 672.369405299204 22.087988 3151
qExactive01819.8705.8705.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8705%22 920.470097917274 33.948752999999996 12395
qExactive01819.5463.5463.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5463%22 705.901018470536 24.295452 3185
qExactive01819.8699.8699.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8699%22 778.395076188998 33.92194 11733
qExactive01819.4246.4246.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4246%22 590.27126910916 19.829504 16402
qExactive01819.7602.7602.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7602%22 694.380238602473 30.278231 3152
qExactive01819.7143.7143.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7143%22 662.643409473135 29.054329 5311
qExactive01819.5349.5349.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5349%22 830.36721757769 23.960148 48222
qExactive01819.6083.6083.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6083%22 1144.064838548081 26.147919 37983
qExactive01819.5349.5349.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5349%22 830.36721757769 23.960148 48222
qExactive01819.5053.5053.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5053%22 633.324244018069 22.965233 8692
qExactive01819.8222.8222.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8222%22 691.849802333625 32.161013 7633
qExactive01819.9922.9922.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9922%22 878.887329058637 39.364628 44914
qExactive01819.6680.6680.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6680%22 760.379025517689 27.738868 14084
qExactive01819.4770.4770.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4770%22 628.320890260944 21.998942 8660
qExactive01819.5830.5830.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5830%22 789.059940604085 25.465443999999998 35588
qExactive01819.4729.4729.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4729%22 553.755740424498 21.837397 9384
qExactive01819.7596.7596.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7596%22 725.406932447834 30.260386999999998 1947
qExactive01819.5873.5873.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5873%22 675.35647023363 25.580687 6227
qExactive01819.8108.8108.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8108%22 695.353791382642 31.76487 9933
qExactive01819.4360.4360.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4360%22 566.267683166358 20.313319 12983
qExactive01819.9325.9325.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9325%22 703.412044056509 36.593159 754
qExactive01819.8289.8289.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8289%22 962.428674948997 32.402383 69142
qExactive01819.7439.7439.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7439%22 682.976001328069 29.814088 9675
